date,location,name,organization,type of death,url
"October 14, 2017","Mogadishu, Somalia",Ali Nur Siad,Voice of America,Dangerous Assignment,https://cpj.org/data/people/ali-nur-siad/index.php
"October 22, 2016","Al-Shura, Nineveh Province, Iraq",Ali Risan,Al-Sumaria TV,Crossfire,https://cpj.org/data/people/ali-risan/index.php
"April 30, 2018","Kabul, Afghanistan",Ali Saleemi,Mashal TV,Murder,https://cpj.org/data/people/ali-saleemi/index.php
"April 9, 2012","Wadi Khaled, Lebanon",Ali Shaaban,Al-Jadeed,Crossfire,https://cpj.org/data/people/ali-shaaban/index.php
"August 11, 2007","Mogadishu, Somalia",Ali Sharmarke,HornAfrik,Murder,https://cpj.org/data/people/ali-sharmarke/index.php
"October 24, 2007","Osh, Kyrgyzstan",Alisher Saipov,Siyosat,Murder,https://cpj.org/data/people/alisher-saipov/index.php
"August 26, 2015","Smith Mountain Lake, Virginia, USA",Alison Parker,WDBJ7,Dangerous Assignment,https://cpj.org/data/people/alison-parker/index.php
"February 7, 2005","Wana, Pakistan",Allah Noor,Khyber TV,Murder,https://cpj.org/data/people/allah-noor/index.php
"February 11, 1996","Algiers, Algeria",Allaoua Ait M'barak,Le Soir d'Algérie,Murder,https://cpj.org/data/people/allaoua-ait-mbarak/index.php
"January 17, 2016","Hamam Jarif, Yemen",Almigdad Mojalli,Freelance,Crossfire,https://cpj.org/data/people/almigdad-mojalli/index.php
"April 7, 1994","Kigali, Rwanda",Aloys Nyimbuzi,L'Observateur,Murder,https://cpj.org/data/people/aloys-nyimbuzi/index.php
"January 17, 1999","Freetown, Sierra Leone",Alpha Amadu Bah,Independent Observer,Murder,https://cpj.org/data/people/alpha-amadu-bah/index.php
"January 1, 1997","Srinagar, India",Altaf Ahmed Faktoo,Doordarshan TV,Murder,https://cpj.org/data/people/altaf-ahmed-faktoo/index.php
"June 21, 2011","Diwaniyya, Iraq",Alwan al-Ghorabi,Afaq,Dangerous Assignment,https://cpj.org/data/people/alwan-al-ghorabi/index.php
"April 6, 2007","Acapulco, Mexico",Amado Ramírez Dillanes,Televisa and Radiorama,Murder,https://cpj.org/data/people/amado-ramirez-dillanes/index.php
"March 29, 2013","Damascus, Syria",Amer Diab,Freelance,Crossfire,https://cpj.org/data/people/amer-diab/index.php
"September 3, 2007","Mosul, Iraq",Amer Malallah al-Rashidi,Al-Mosuliya,Murder,https://cpj.org/data/people/amer-malallah-al-rashidi/index.php
"August 20, 1995","Algiers, Algeria",Ameur Ouagueni,Le Matin,Murder,https://cpj.org/data/people/ameur-ouagueni/index.php
"February 7, 2005","Wana, Pakistan",Amir Nowab,Associated Press Television News and Frontier Post,Murder,https://cpj.org/data/people/amir-nowab-or-mir-nawab/index.php
"March 11, 2006","Baghdad, Iraq",Amjad Hameed,Al-Iraqiya,Murder,https://cpj.org/data/people/amjad-hameed/index.php
"May 31, 2015","Marj al-Sultan, Eastern Ghouta, Syria",Ammar al-Shami,Qasioun News,Crossfire,https://cpj.org/data/people/ammar-al-shami/index.php
"May 27, 2012","Damascus, Syria",Ammar Mohamed Suhail Zado,Shaam News Network,Crossfire,https://cpj.org/data/people/ammar-mohamed-suhail-zado/index.php
"August 11, 1998","Valledupar, Colombia",Amparo Leonor Jiménez Pallares,"""QAP"" and ""En Vivo""",Murder,https://cpj.org/data/people/amparo-leonor-jimenez-pallares/index.php
"March 10, 2013","Damascus, Syria",Amr Badir al-Deen Junaid,Qaboun Media Center,Crossfire,https://cpj.org/data/people/amr-badir-al-deen-junaid/index.php
"February 11, 2009","Bali, Indonesia",Anak Agung Prabangsa,Radar Bali,Murder,https://cpj.org/data/people/anak-agung-prabangsa/index.php
"May 12, 2015","Sylhet, Bangladesh",Ananta Bijoy Das,Freelance,Murder,https://cpj.org/data/people/ananta-bijoy-das/index.php
"February 24, 2012","Homs, Syria",Anas al-Tarsha,Freelance,Crossfire,https://cpj.org/data/people/anas-al-tarsha/index.php
"April 29, 1994","Unknown, Rwanda",Anastase Seruvumba,Imbaga,Murder,https://cpj.org/data/people/anastase-seruvumba/index.php
"January 19, 2009","Moscow , Russia",Anastasiya Baburova,Novaya Gazeta,Murder,https://cpj.org/data/people/anastasiya-baburova/index.php
"June 30, 2014","Donetsk, Ukraine",Anatoly Klyan,Pervy Kanal,Dangerous Assignment,https://cpj.org/data/people/anatoly-klyan/index.php
"August 24, 1998","St. Petersburg, Russia",Anatoly Levin-Utkin,Yurichichesky Peterburg Segodnya,Murder,https://cpj.org/data/people/anatoly-levin-utkin/index.php
"February 7, 2009","Antananarivo, Madagascar",Ando Ratovonirina,Radio Télévision Analamanga,Dangerous Assignment,https://cpj.org/data/people/ando-ratovonirina/index.php
"April-June, 1994","Rwanda, Rwanda",André Kameya,Rwanda Rushya,Murder,https://cpj.org/data/people/andre-kameya/index.php
